,Margin
Pts,0.9468916381000632
Pass Rate,0.8669135427101883
XPA,0.865209450425007
XPM,0.844456513048849
Tot Yds,0.8058993562408465
Avg Yds,0.7793835955560788
Pass Y/A,0.762027429371118
Pass Cmp%,0.6611857665310398
Pass Yds,0.6313556073092731
Rush Yds,0.4809699903653496
Pass Cmp,0.4623401087817053
Rush Y/A,0.4106157635560366
Rush Att,0.37288878805071024
Plays,0.3316234865095688
FGM,0.11510637651983019
Pass Att,0.09072051646742349
FGA,0.01879058360665524
FL,-0.1866986692747144
TO,-0.5020816008048656
Int,-0.521678290608445
Pnt,-0.653026641252581
Pnt Yds,-0.6602078568863969
PtsO,-0.7329570017652676
